Frequency (Hz)	Level (dB)
344.531250	-5.842676
689.062500	-14.357881
1033.593750	-11.680162
1378.125000	-13.727340
1722.656250	-17.537647
2067.187500	-15.800373
2411.718750	-22.939579
2756.250000	-23.254097
3100.781250	-20.808550
3445.312500	-21.955576
3789.843750	-26.572132
4134.375000	-19.378292
4478.906250	-20.387774
4823.437500	-28.860605
5167.968750	-30.911907
5512.500000	-32.209820
5857.031250	-33.973846
6201.562500	-34.877869
6546.093750	-34.964108
6890.625000	-36.278778
7235.156250	-37.028667
7579.687500	-37.117260
7924.218750	-37.992371
8268.750000	-38.157619
8613.281250	-38.417091
8957.812500	-38.635124
9302.343750	-39.191963
9646.875000	-39.549713
9991.406250	-39.837124
10335.937500	-40.108433
10680.468750	-40.351505
11025.000000	-40.602150
11369.531250	-40.830479
11714.062500	-41.070255
12058.593750	-41.266708
12403.125000	-41.457104
12747.656250	-41.639690
13092.187500	-41.813980
13436.718750	-41.976627
13781.250000	-42.132141
14125.781250	-42.279690
14470.312500	-42.419048
14814.843750	-42.550415
15159.375000	-42.673611
15503.906250	-42.789932
15848.437500	-42.899498
16192.968750	-43.002754
16537.500000	-43.098522
16882.031250	-43.188515
17226.562500	-43.270191
17571.093750	-43.348026
17915.625000	-43.418331
18260.156250	-43.481930
18604.687500	-43.541405
18949.218750	-43.593922
19293.750000	-43.641541
19638.281250	-43.682587
19982.812500	-43.717697
20327.343750	-43.748131
20671.875000	-43.772823
21016.406250	-43.791409
21360.937500	-43.805576
21705.468750	-43.813416
Frequency (Hz)	Level (dB)
344.531250	-5.842676
689.062500	-14.357881
1033.593750	-11.680162
1378.125000	-13.727340
1722.656250	-17.537647
2067.187500	-15.800373
2411.718750	-22.939579
2756.250000	-23.254097
3100.781250	-20.808550
3445.312500	-21.955576
3789.843750	-26.572132
4134.375000	-19.378292
4478.906250	-20.387774
4823.437500	-28.860605
5167.968750	-30.911907
5512.500000	-32.209820
5857.031250	-33.973846
6201.562500	-34.877869
6546.093750	-34.964108
6890.625000	-36.278778
7235.156250	-37.028667
7579.687500	-37.117260
7924.218750	-37.992371
8268.750000	-38.157619
8613.281250	-38.417091
8957.812500	-38.635124
9302.343750	-39.191963
9646.875000	-39.549713
9991.406250	-39.837124
10335.937500	-40.108433
10680.468750	-40.351505
11025.000000	-40.602150
11369.531250	-40.830479
11714.062500	-41.070255
12058.593750	-41.266708
12403.125000	-41.457104
12747.656250	-41.639690
13092.187500	-41.813980
13436.718750	-41.976627
13781.250000	-42.132141
14125.781250	-42.279690
14470.312500	-42.419048
14814.843750	-42.550415
15159.375000	-42.673611
15503.906250	-42.789932
15848.437500	-42.899498
16192.968750	-43.002754
16537.500000	-43.098522
16882.031250	-43.188515
17226.562500	-43.270191
17571.093750	-43.348026
17915.625000	-43.418331
18260.156250	-43.481930
18604.687500	-43.541405
18949.218750	-43.593922
19293.750000	-43.641541
19638.281250	-43.682587
19982.812500	-43.717697
20327.343750	-43.748131
20671.875000	-43.772823
21016.406250	-43.791409
21360.937500	-43.805576
21705.468750	-43.813416
